symbol,start_open_time_utc,end_open_time_utc,end_close_time_utc,k,low_min,high_max,move_pct_A,open_first,close_last,move_pct_B
ROSEUSDT,2026-02-15T11:00:00Z,2026-02-15T19:00:00Z,2026-02-15T19:59:59Z,9,0.01214,0.01313,8.1549,0.01305,0.01218,-6.6667
ROSEUSDT,2026-02-15T11:00:00Z,2026-02-15T20:00:00Z,2026-02-15T20:59:59Z,10,0.01203,0.01313,9.1438,0.01305,0.01219,-6.59
ROSEUSDT,2026-02-15T12:00:00Z,2026-02-15T21:00:00Z,2026-02-15T21:59:59Z,10,0.01203,0.0131,8.8944,0.01306,0.01224,-6.2787
ROSEUSDT,2026-02-18T01:00:00Z,2026-02-18T07:00:00Z,2026-02-18T07:59:59Z,7,0.01253,0.01373,9.577,0.01261,0.01369,8.5646
ROSEUSDT,2026-02-18T01:00:00Z,2026-02-18T08:00:00Z,2026-02-18T08:59:59Z,8,0.01253,0.0143,14.1261,0.01261,0.01423,12.8469
ROSEUSDT,2026-02-18T01:00:00Z,2026-02-18T09:00:00Z,2026-02-18T09:59:59Z,9,0.01253,0.0143,14.1261,0.01261,0.01367,8.406
ROSEUSDT,2026-02-18T01:00:00Z,2026-02-18T10:00:00Z,2026-02-18T10:59:59Z,10,0.01253,0.0143,14.1261,0.01261,0.01419,12.5297
ROSEUSDT,2026-02-18T02:00:00Z,2026-02-18T11:00:00Z,2026-02-18T11:59:59Z,10,0.01263,0.0143,13.2225,0.01264,0.01412,11.7089
ROSEUSDT,2026-02-18T03:00:00Z,2026-02-18T12:00:00Z,2026-02-18T12:59:59Z,10,0.01274,0.01444,13.3438,0.01278,0.01434,12.2066
ROSEUSDT,2026-02-18T04:00:00Z,2026-02-18T13:00:00Z,2026-02-18T13:59:59Z,10,0.01288,0.01444,12.1118,0.01293,0.01381,6.8059
ROSEUSDT,2026-02-18T05:00:00Z,2026-02-18T14:00:00Z,2026-02-18T14:59:59Z,10,0.01298,0.01444,11.2481,0.01303,0.01366,4.835
ROSEUSDT,2026-02-18T06:00:00Z,2026-02-18T15:00:00Z,2026-02-18T15:59:59Z,10,0.01313,0.01444,9.9772,0.01322,0.01356,2.5719
ROSEUSDT,2026-02-18T07:00:00Z,2026-02-18T16:00:00Z,2026-02-18T16:59:59Z,10,0.01321,0.01444,9.3111,0.01324,0.01358,2.568
ROSEUSDT,2026-02-18T12:00:00Z,2026-02-18T17:00:00Z,2026-02-18T17:59:59Z,6,0.01336,0.01444,8.0838,0.01412,0.01345,-4.745
ROSEUSDT,2026-02-18T12:00:00Z,2026-02-18T18:00:00Z,2026-02-18T18:59:59Z,7,0.01321,0.01444,9.3111,0.01412,0.01328,-5.949
ROSEUSDT,2026-02-18T12:00:00Z,2026-02-18T19:00:00Z,2026-02-18T19:59:59Z,8,0.01313,0.01444,9.9772,0.01412,0.01322,-6.3739
ROSEUSDT,2026-02-18T12:00:00Z,2026-02-18T20:00:00Z,2026-02-18T20:59:59Z,9,0.01313,0.01444,9.9772,0.01412,0.01339,-5.17
ROSEUSDT,2026-02-18T12:00:00Z,2026-02-18T21:00:00Z,2026-02-18T21:59:59Z,10,0.01313,0.01444,9.9772,0.01412,0.01347,-4.6034
ROSEUSDT,2026-02-18T13:00:00Z,2026-02-18T22:00:00Z,2026-02-18T22:59:59Z,10,0.01313,0.01439,9.5963,0.01434,0.01349,-5.9275
ROSEUSDT,2026-02-19T04:00:00Z,2026-02-19T13:00:00Z,2026-02-19T13:59:59Z,10,0.01238,0.01369,10.5816,0.0136,0.01246,-8.3824
ROSEUSDT,2026-02-19T05:00:00Z,2026-02-19T14:00:00Z,2026-02-19T14:59:59Z,10,0.01236,0.01359,9.9515,0.01353,0.01251,-7.5388
ROSEUSDT,2026-02-19T06:00:00Z,2026-02-19T15:00:00Z,2026-02-19T15:59:59Z,10,0.01236,0.01354,9.5469,0.01349,0.01243,-7.8577
ROSEUSDT,2026-02-19T07:00:00Z,2026-02-19T16:00:00Z,2026-02-19T16:59:59Z,10,0.01226,0.01344,9.6248,0.01343,0.01246,-7.2226
ROSEUSDT,2026-02-19T22:00:00Z,2026-02-20T02:00:00Z,2026-02-20T02:59:59Z,5,0.01215,0.01327,9.2181,0.01235,0.01304,5.587
ROSEUSDT,2026-02-19T22:00:00Z,2026-02-20T03:00:00Z,2026-02-20T03:59:59Z,6,0.01215,0.01327,9.2181,0.01235,0.01278,3.4818
ROSEUSDT,2026-02-19T22:00:00Z,2026-02-20T04:00:00Z,2026-02-20T04:59:59Z,7,0.01215,0.01327,9.2181,0.01235,0.01261,2.1053
ROSEUSDT,2026-02-19T22:00:00Z,2026-02-20T05:00:00Z,2026-02-20T05:59:59Z,8,0.01215,0.01327,9.2181,0.01235,0.01266,2.5101
ROSEUSDT,2026-02-19T22:00:00Z,2026-02-20T06:00:00Z,2026-02-20T06:59:59Z,9,0.01215,0.01327,9.2181,0.01235,0.01277,3.4008
ROSEUSDT,2026-02-19T22:00:00Z,2026-02-20T07:00:00Z,2026-02-20T07:59:59Z,10,0.01215,0.01327,9.2181,0.01235,0.01264,2.3482
ROSEUSDT,2026-02-19T23:00:00Z,2026-02-20T08:00:00Z,2026-02-20T08:59:59Z,10,0.01227,0.01327,8.15,0.01227,0.01271,3.586
ROSEUSDT,2026-02-20T20:00:00Z,2026-02-21T04:00:00Z,2026-02-21T04:59:59Z,9,0.01278,0.01395,9.1549,0.01286,0.01385,7.6983
ROSEUSDT,2026-02-20T20:00:00Z,2026-02-21T05:00:00Z,2026-02-21T05:59:59Z,10,0.01278,0.014,9.5462,0.01286,0.01384,7.6205
ROSEUSDT,2026-02-20T21:00:00Z,2026-02-21T06:00:00Z,2026-02-21T06:59:59Z,10,0.01282,0.014,9.2044,0.01283,0.01367,6.5472
ROSEUSDT,2026-02-20T22:00:00Z,2026-02-21T07:00:00Z,2026-02-21T07:59:59Z,10,0.01288,0.014,8.6957,0.01292,0.01375,6.4241
ROSEUSDT,2026-02-22T17:00:00Z,2026-02-23T01:00:00Z,2026-02-23T01:59:59Z,9,0.01194,0.01304,9.2127,0.01292,0.01197,-7.3529
ROSEUSDT,2026-02-22T17:00:00Z,2026-02-23T02:00:00Z,2026-02-23T02:59:59Z,10,0.01186,0.01304,9.9494,0.01292,0.01198,-7.2755
ROSEUSDT,2026-02-22T18:00:00Z,2026-02-23T03:00:00Z,2026-02-23T03:59:59Z,10,0.01186,0.01297,9.3592,0.01295,0.01189,-8.1853
